land;Y2014M04
AT;131.30
BE;129.17
BG;138.05
CH;116.6
CY;138.38
CZ;158.4
DE;123.9
DK;130.0
EA;129.74
EA17;129.88
EA18;129.97
EE;190.50
EL;153.46
ES;142.58
EU;135.16
EU27;135.56
EU28;135.60
FI;138.61
FR;131.14
HR;155.53
HU;155.14
IE;130.7
IS;205.08
IT;134.9
LT;192.00
LU;132.83
LV;208.65
MT;135.60
NL;122.09
NO;121.2
PL;146.1
PT;144.42
RO;195.06
SE;121.24
SI;150.03
SK;135.25
TR;228.36
UK;150.03
US;150.03
