land;Y2014M04D;Y2014M04
AT;552;523
BE;840;858
CH;327;320
CY;60;71
CZ;802;773
DE;3648;4009
DK;255;220
EL;1258;1141
ES;2479;2060
FI;272;292
FR;3992;3963
HR;426;418
HU;740;638
IS;8;12
LU;32;33
LV;218;179
NL;537;546
NO;208;168
PL;3908;4189
PT;937;891
RO;2377;2018
SI;138;141
UK;1905;1960
