land;Y2014M04D;Y2014M04
Österreich;552;523
Belgien;840;858
Schweiz;327;320
Zypern;60;71
Tschechische Republik;802;773
Deutschland;3648;4009
Dänemark;255;220
Griechenland;1258;1141
Spanien;2479;2060
Finnland;272;292
Frankreich;3992;3963
Kroatien;426;418
Ungarn;740;638
Island;8;12
Luxemburg;32;33
Lettland;218;179
Niederlande;537;546
Norwegen;208;168
Polen;3908;4189
Portugal;937;891
Rumänien;2377;2018
Slowenien;138;141
Vereinigtes Königreich;1905;1960
